date,symbol,exchange,stock_price_for_iv,period,delta,moneyness,strike,iv
01/15/2019,IWM,NYSEArca,143.2200,30,10,0.062096,152.647971,0.165930
01/15/2019,IWM,NYSEArca,143.2200,30,15,0.051122,150.981970,0.168139
01/15/2019,IWM,NYSEArca,143.2200,30,20,0.042412,149.672628,0.170807
01/15/2019,IWM,NYSEArca,143.2200,30,25,0.034888,148.550717,0.173986
01/15/2019,IWM,NYSEArca,143.2200,30,30,0.027983,147.528508,0.177514
01/15/2019,IWM,NYSEArca,143.2200,30,35,0.021361,146.554801,0.181156
01/15/2019,IWM,NYSEArca,143.2200,30,40,0.014843,145.602663,0.184995
01/15/2019,IWM,NYSEArca,143.2200,30,45,0.008284,144.650781,0.189144
01/15/2019,IWM,NYSEArca,143.2200,30,50,0.001543,143.678969,0.193746
01/15/2019,IWM,NYSEArca,143.2200,30,55,-0.005537,142.665314,0.198746
01/15/2019,IWM,NYSEArca,143.2200,30,60,-0.013098,141.590690,0.203836
01/15/2019,IWM,NYSEArca,143.2200,30,65,-0.021369,140.424423,0.209823
01/15/2019,IWM,NYSEArca,143.2200,30,70,-0.030608,139.133016,0.216391
01/15/2019,IWM,NYSEArca,143.2200,30,75,-0.041232,137.662691,0.223881
01/15/2019,IWM,NYSEArca,143.2200,30,80,-0.053923,135.926654,0.232704
01/15/2019,IWM,NYSEArca,143.2200,30,85,-0.070220,133.729410,0.244598
01/15/2019,IWM,NYSEArca,143.2200,30,90,-0.093248,130.685076,0.261444
01/15/2019,IWM,NYSEArca,143.2200,60,10,0.085980,156.292904,0.161356
01/15/2019,IWM,NYSEArca,143.2200,60,15,0.071487,154.044087,0.164807
01/15/2019,IWM,NYSEArca,143.2200,60,20,0.059902,152.269784,0.168693
01/15/2019,IWM,NYSEArca,143.2200,60,25,0.049712,150.726033,0.172809
01/15/2019,IWM,NYSEArca,143.2200,60,30,0.040191,149.297781,0.176929
01/15/2019,IWM,NYSEArca,143.2200,60,35,0.031040,147.937789,0.181380
01/15/2019,IWM,NYSEArca,143.2200,60,40,0.021940,146.597662,0.185929
01/15/2019,IWM,NYSEArca,143.2200,60,45,0.012707,145.250355,0.190721
01/15/2019,IWM,NYSEArca,143.2200,60,50,0.003176,143.872550,0.196560
01/15/2019,IWM,NYSEArca,143.2200,60,55,-0.006950,142.423048,0.202681
01/15/2019,IWM,NYSEArca,143.2200,60,60,-0.017825,140.882589,0.208231
01/15/2019,IWM,NYSEArca,143.2200,60,65,-0.029694,139.220338,0.214217
01/15/2019,IWM,NYSEArca,143.2200,60,70,-0.043018,137.377669,0.221255
01/15/2019,IWM,NYSEArca,143.2200,60,75,-0.058302,135.293953,0.228949
01/15/2019,IWM,NYSEArca,143.2200,60,80,-0.076588,132.842451,0.238103
01/15/2019,IWM,NYSEArca,143.2200,60,85,-0.099666,129.811817,0.249339
01/15/2019,IWM,NYSEArca,143.2200,60,90,-0.131924,125.691166,0.265007
01/15/2019,IWM,NYSEArca,143.2200,90,10,0.104728,159.468956,0.159633
01/15/2019,IWM,NYSEArca,143.2200,90,15,0.087688,156.774626,0.163943
01/15/2019,IWM,NYSEArca,143.2200,90,20,0.073806,154.613318,0.168254
01/15/2019,IWM,NYSEArca,143.2200,90,25,0.061567,152.732538,0.172828
01/15/2019,IWM,NYSEArca,143.2200,90,30,0.050065,150.985872,0.177369
01/15/2019,IWM,NYSEArca,143.2200,90,35,0.038967,149.319495,0.182254
01/15/2019,IWM,NYSEArca,143.2200,90,40,0.027886,147.674019,0.187286
01/15/2019,IWM,NYSEArca,143.2200,90,45,0.016613,146.018638,0.192793
01/15/2019,IWM,NYSEArca,143.2200,90,50,0.004861,144.312671,0.198563
01/15/2019,IWM,NYSEArca,143.2200,90,55,-0.007599,142.525691,0.204055
01/15/2019,IWM,NYSEArca,143.2200,90,60,-0.020981,140.631117,0.209987
01/15/2019,IWM,NYSEArca,143.2200,90,65,-0.035665,138.581177,0.216640
01/15/2019,IWM,NYSEArca,143.2200,90,70,-0.052061,136.327526,0.223599
01/15/2019,IWM,NYSEArca,143.2200,90,75,-0.070947,133.777005,0.231567
01/15/2019,IWM,NYSEArca,143.2200,90,80,-0.093593,130.781536,0.241097
01/15/2019,IWM,NYSEArca,143.2200,90,85,-0.122123,127.103062,0.252573
01/15/2019,IWM,NYSEArca,143.2200,90,90,-0.162026,122.131126,0.268585
01/15/2019,IWM,NYSEArca,143.2200,120,10,0.119962,162.077019,0.157691
01/15/2019,IWM,NYSEArca,143.2200,120,15,0.100532,158.958260,0.161916
01/15/2019,IWM,NYSEArca,143.2200,120,20,0.084927,156.496970,0.166541
01/15/2019,IWM,NYSEArca,143.2200,120,25,0.071019,154.335476,0.171180
01/15/2019,IWM,NYSEArca,143.2200,120,30,0.058027,152.343318,0.176042
01/15/2019,IWM,NYSEArca,143.2200,120,35,0.045325,150.420491,0.180824
01/15/2019,IWM,NYSEArca,143.2200,120,40,0.032681,148.530548,0.185875
01/15/2019,IWM,NYSEArca,143.2200,120,45,0.019827,146.633554,0.191507
01/15/2019,IWM,NYSEArca,143.2200,120,50,0.006399,144.677720,0.197293
01/15/2019,IWM,NYSEArca,143.2200,120,55,-0.007852,142.630539,0.202820
01/15/2019,IWM,NYSEArca,143.2200,120,60,-0.023171,140.462233,0.208890
01/15/2019,IWM,NYSEArca,143.2200,120,65,-0.039999,138.118311,0.215644
01/15/2019,IWM,NYSEArca,143.2200,120,70,-0.058769,135.550010,0.222525
01/15/2019,IWM,NYSEArca,143.2200,120,75,-0.080427,132.645831,0.230554
01/15/2019,IWM,NYSEArca,143.2200,120,80,-0.106360,129.250146,0.240030
01/15/2019,IWM,NYSEArca,143.2200,120,85,-0.139085,125.088896,0.251546
