ticker;vencimento;dias_vencimento;type;mod;strike;preco;data;iv;spot
BOVAU500;21/09/2020;5;PUT;E;50,00;0,01;11/09/2020;1,45;94,48
BOVAV500;19/10/2020;24;PUT;E;50,00;0,04;11/09/2020;0,824;94,48
BOVAW500;16/11/2020;43;PUT;E;50,00;0,15;11/09/2020;0,742;94,48
BOVAU550;21/09/2020;5;PUT;E;55,00;0,01;11/09/2020;1,247;94,48
BOVAV550;19/10/2020;24;PUT;E;55,00;0,06;11/09/2020;0,747;94,48
BOVAW550;16/11/2020;43;PUT;E;55,00;0,20;11/09/2020;0,672;94,48
BOVAU60;21/09/2020;5;PUT;E;60,00;0,01;11/09/2020;1,06;94,48
BOVAW600;16/11/2020;43;PUT;E;60,00;0,28;11/09/2020;0,612;94,48
BOVAL60;21/12/2020;68;CALL;A;60,00;21,90;22/04/2020;0,424;94,48
BOVAX60;21/12/2020;68;PUT;E;60,00;0,35;10/09/2020;0,518;94,48
BOVAL605;21/12/2020;68;CALL;E;60,50;38,99;17/07/2020;0,3;94,48
BOVAX605;21/12/2020;68;PUT;E;60,50;0,23;17/07/2020;0,407;94,48
BOVAJ615;19/10/2020;24;CALL;E;61,50;32,43;11/09/2020;;94,48
BOVAV615;19/10/2020;24;PUT;E;61,50;0,11;11/09/2020;0,661;94,48
BOVAI625;21/09/2020;5;CALL;E;62,50;34,50;20/08/2020;0,867;94,48
BOVAU625;21/09/2020;5;PUT;E;62,50;0,01;11/09/2020;0,971;94,48
BOVAV63;19/10/2020;24;PUT;E;63,00;0,13;11/09/2020;0,644;94,48
BOVAI645;21/09/2020;5;CALL;E;64,50;30,50;11/09/2020;1,59;94,48
BOVAU645;21/09/2020;5;PUT;E;64,50;0,01;11/09/2020;0,902;94,48
BOVAW650;16/11/2020;43;PUT;E;65,00;0,37;11/09/2020;0,548;94,48
BOVAL65;21/12/2020;68;CALL;A;65,00;20,00;22/04/2020;0,504;94,48
BOVAX65;21/12/2020;68;PUT;E;65,00;7,14;25/03/2020;0,476;94,48
BOVAA65;18/01/2021;85;CALL;A;65,00;32,00;26/08/2020;0,369;94,48
BOVAM65;18/01/2021;85;PUT;E;65,00;0,53;10/09/2020;0,45;94,48
BOVAX665;21/12/2020;68;PUT;E;66,50;2,50;08/05/2020;0,308;94,48
BOVAI670;21/09/2020;5;CALL;A;67,00;25,00;05/06/2020;0,37;94,48
BOVAU670;21/09/2020;5;PUT;E;67,00;0,01;11/09/2020;0,82;94,48
BOVAI68;21/09/2020;5;CALL;A;68,00;29,00;20/08/2020;0,777;94,48
BOVAU68;21/09/2020;5;PUT;E;68,00;0,01;11/09/2020;0,787;94,48
BOVAX680;21/12/2020;68;PUT;E;68,00;2,20;03/07/2020;0,483;94,48
BOVAV69;19/10/2020;24;PUT;E;69,00;0,19;11/09/2020;0,552;94,48
BOVAW700;16/11/2020;43;PUT;E;70,00;0,60;11/09/2020;0,51;94,48
BOVAU710;21/09/2020;5;PUT;E;71,00;0,02;11/09/2020;0,748;94,48
BOVAV720;19/10/2020;24;PUT;E;72,00;0,26;11/09/2020;0,518;94,48
BOVAU740;21/09/2020;5;PUT;E;74,00;0,03;11/09/2020;0,683;94,48
BOVAV75;19/10/2020;24;PUT;E;75,00;0,35;11/09/2020;0,483;94,48
BOVAW750;16/11/2020;43;PUT;E;75,00;0,89;11/09/2020;0,463;94,48
BOVAX750;21/12/2020;68;PUT;E;75,00;1,08;09/09/2020;0,423;94,48
BOVAJ755;19/10/2020;24;CALL;E;75,50;21,61;20/08/2020;;94,48
BOVAV755;19/10/2020;24;PUT;E;75,50;0,37;11/09/2020;0,478;94,48
BOVAJ77;19/10/2020;24;CALL;A;77,00;20,20;09/09/2020;0,43;94,48
BOVAV77;19/10/2020;24;PUT;E;77,00;0,45;11/09/2020;0,466;94,48
BOVAX770;21/12/2020;68;PUT;E;77,00;6,00;08/05/2020;0,281;94,48
BOVAK775;16/11/2020;43;CALL;E;77,50;18,62;20/08/2020;;94,48
BOVAW775;16/11/2020;43;PUT;E;77,50;1,11;11/09/2020;0,444;94,48
BOVAX775;21/12/2020;68;PUT;E;77,50;4,01;29/06/2020;0,43;94,48
BOVAI780;21/09/2020;5;CALL;A;78,00;17,90;11/09/2020;1,249;94,48
BOVAU780;21/09/2020;5;PUT;E;78,00;0,04;11/09/2020;0,573;94,48
BOVAW780;16/11/2020;43;PUT;E;78,00;1,14;11/09/2020;0,437;94,48
BOVAI785;21/09/2020;5;CALL;E;78,50;16,90;11/09/2020;1,054;94,48
BOVAU785;21/09/2020;5;PUT;E;78,50;0,06;11/09/2020;0,591;94,48
BOVAV790;19/10/2020;24;PUT;E;79,00;0,59;11/09/2020;0,451;94,48
BOVAW790;16/11/2020;43;PUT;E;79,00;1,32;11/09/2020;0,438;94,48
BOVAI795;21/09/2020;5;CALL;E;79,50;15,60;11/09/2020;0,888;94,48
BOVAU795;21/09/2020;5;PUT;E;79,50;0,08;11/09/2020;0,582;94,48
BOVAI80;21/09/2020;5;CALL;A;80,00;14,80;11/09/2020;0,72;94,48
BOVAU80;21/09/2020;5;PUT;E;80,00;0,08;11/09/2020;0,564;94,48
BOVAJ800;19/10/2020;24;CALL;A;80,00;15,30;11/09/2020;0,441;94,48
BOVAV800;19/10/2020;24;PUT;E;80,00;0,68;11/09/2020;0,445;94,48
BOVAL80;21/12/2020;68;CALL;A;80,00;6,60;24/03/2020;0,429;94,48
